paragraph_id,anchor_text,link_type
beverlyhillscop_paragraph_0000004,community portal,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Eddie Murphy,internal
beverlyhillscop_paragraph_0000003,Axel Foley,internal
beverlyhillscop_paragraph_0000003,Eddie Murphy,internal
beverlyhillscop_paragraph_0000003,Beverly Hills,internal
beverlyhillscop_paragraph_0000003,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000003,Billy Rosewood,internal
beverlyhillscop_paragraph_0000003,Judge Reinhold,internal
beverlyhillscop_paragraph_0000003,John Taggart,internal
beverlyhillscop_paragraph_0000003,John Ashton,internal
beverlyhillscop_paragraph_0000004,Beverly Hills Cop,internal
beverlyhillscop_paragraph_0000004,Beverly Hills Cop: Axel F,internal
beverlyhillscop_paragraph_0000005,Detroit,internal
beverlyhillscop_paragraph_0000005,Axel Foley,internal
beverlyhillscop_paragraph_0000005,Eddie Murphy,internal
beverlyhillscop_paragraph_0000005,Beverly Hills,internal
beverlyhillscop_paragraph_0000005,Jenny Summers,internal
beverlyhillscop_paragraph_0000005,Lisa Eilbacher,internal
beverlyhillscop_paragraph_0000005,Victor Maitland,internal
beverlyhillscop_paragraph_0000005,Steven Berkoff,internal
beverlyhillscop_paragraph_0000005,Lt. Bogomil,internal
beverlyhillscop_paragraph_0000005,Ronny Cox,internal
beverlyhillscop_paragraph_0000005,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000007,Eddie Murphy,internal
beverlyhillscop_paragraph_0000007,Beverly Hills,internal
beverlyhillscop_paragraph_0000007,Foley,internal
beverlyhillscop_paragraph_0000007,Billy Rosewood,internal
beverlyhillscop_paragraph_0000007,Judge Reinhold,internal
beverlyhillscop_paragraph_0000007,Jon Flint,internal
beverlyhillscop_paragraph_0000007,Héctor Elizondo,internal
beverlyhillscop_paragraph_0000007,Orrin Sanderson,internal
beverlyhillscop_paragraph_0000008,Axel Foley,internal
beverlyhillscop_paragraph_0000008,Eddie Murphy,internal
beverlyhillscop_paragraph_0000008,Beverly Hills,internal
beverlyhillscop_paragraph_0000008,Billy Rosewood,internal
beverlyhillscop_paragraph_0000008,Judge Reinhold,internal
beverlyhillscop_paragraph_0000008,John Taggart,internal
beverlyhillscop_paragraph_0000008,John Ashton,internal
beverlyhillscop_paragraph_0000001,"

",other
beverlyhillscop_paragraph_0000001,Serge,internal
beverlyhillscop_paragraph_0000001,Jeffrey,internal
beverlyhillscop_paragraph_0000001,Detroit,internal
beverlyhillscop_paragraph_0000001,Michigan,internal
beverlyhillscop_paragraph_0000001,USA,internal
beverlyhillscop_paragraph_0000001,Detroit Police Department,internal
beverlyhillscop_paragraph_0000001,Beverly Hills Police Department,internal
beverlyhillscop_paragraph_0000001,Jane Saunders,internal
beverlyhillscop_paragraph_0000001,Eddie Murphy,internal
beverlyhillscop_paragraph_0000002,Eddie Murphy,internal
beverlyhillscop_paragraph_0000002,Beverly Hills Cop,internal
