paragraph_id,article_id,paragraph_text
money-heist_paragraph_0000001,1026,"Rodrigo de la Serna






Full name
Rodrigo de la Serna


Date of birth
April 18, 1976 (age 49)


Place of birth
Belgrano, Buenos Aires, Argentina


Nationality
 Argentine


Occupation
Actor


Years active
1995-present


Partner(s)
Ludmila Romero (2016-present)Pilar Gamboa (2012)Soledad Fandiño (2011)Erica Rivas (1999-2010)


Children
Miranda (2001)Olivia (2019)Estanislao (2020)


Role
Palermo





First appearance




We're Back"
money-heist_paragraph_0000002,1026,"Rodrigo de la Serna (born April 18, 1976) is an Argentine actor. He portrays Palermo in the series Money Heist."
money-heist_paragraph_0000001,1031,"Pamplona






Biographical Information

Full Name
Matías Caño


Gender
Male


Status
Alive



Relationships

Friends
Bogotá (associate)NairobiTokyoRioAlfonsoAgustín MonteroMarseilleDenverStockholmHelsinkiManilaPalermoThe ProfessorLisbonMarseille


Enemies
Arturo RománSuárezLuis Tamayo



Professional Information

Affiliation
Bank of Spain robbers



Series Information

Part(s)
3, 4, 5


Portrayed by
Ahikar Azcona


Voice Actor
Delarosa Rivera (English, New)[1]






First appearance
Latest appearance




48 Meters Underground
A Family Tradition





Matías Caño, otherwise known as Pamplona, is a supporting character who appears in the Bank of Spain robbery in Parts 3, 4 and 5. He helps the gang out with melting and storing the gold and also guards the hostages and has been an associate of Bogotá for six years."
money-heist_paragraph_0000002,1031,"In his first appearance in the third episode, he is 'picked' as one of the 'volunteers' to work in the gold production area. He refuses to do it by saying he is 'no volunteer' which angers Nairobi and results in Bogotá dragging him downstairs to the other hostages' horror. It is later revealed that was all an act and that he is in on the heist and one of the undercover members hired to help the main gang out."
money-heist_paragraph_0000003,1031,"He spends the majority of Part 3 working in the gold shaft along with Nairobi, Bogotá and the other volunteers. He also assists the gang in helping to recover the Governor."
money-heist_paragraph_0000004,1031,"In Part 4, he is now guarding the hostages more and that is his main role while the main gang can focus on producing the gold and keeping guard on any threats."
money-heist_paragraph_0000005,1031,"He stays downstairs with the hostages and stands in front of them, holding his gun at all times. When Arturo Román caused a commotion amongst the hostages, Matías approached him to warn him but was disarmed by Arturo. However, Manila, one of the hostages, revealed herself to have been an undercover agent of the gang, and almost immediately disposed of Arturo by shooting him in the leg and lending Matías his gun back."
money-heist_paragraph_0000006,1031,"In Part 5, Matías expresses that he wants to have a code name of a city, so that in case the heist goes wrong and they're all arrested, he will be known by the name of a city, like all the other robbers, and not sound like an intern. He chooses Pamplona, which the other gang members don't take seriously, but he insists that Pamplona is a great name. He explains that Pamplona has the wildest festival in the world, the Festival of San Fermín, which is watched by people from around the world. Even the famous author Ernest Hemingway wrote the book The Sun Also Rises about American and British expatriates who travel Pamplona to watch the running of the bulls and the bullfights at the Festival of San Fermín. Seeing his insistence, the other robbers accept his code name and Tamayo refers to him as Pamplona when he speaks to the public."
money-heist_paragraph_0000007,1031,"He is quite young, probably in his mid 20s and has short brown hair and hooped ear piercings. He wears the red jumpsuit along with everyone else and is equipped with a real gun."
money-heist_paragraph_0000008,1031,"He is shown to be a hard-working, loyal and funny guy."
money-heist_paragraph_0000009,1031,"Matías and Bogotá have been associates for 6 years. However, their relationship doesn't appear to be amicable. Bogotá was angry at Matías for pretending not to comply with orders in front of other hostages. He reveals that he has wanted to slam Matías' head against a wagon 6 times."
money-heist_paragraph_0000001,1053,"Germán

Biographical Information

Gender
Male


Status
Dead


Cause of Death
Pancreatic Cancer



Relationships

Family
Alicia Sierra (wife)Victoria (daughter)



Germán was Alicia Sierra's husband."
money-heist_paragraph_0000002,1053,"Germán died of pancreatic cancer about two months before the heist of the Bank of Spain. His last words were ""Turn on the news""."
money-heist_paragraph_0000003,1053,"In Part 5, Germán is mentioned when Alicia tells the Professor that the last person to cook for her was Germán before he died."
money-heist_paragraph_0000004,1053,"Germán was Alicia's husband, and father of her child. At the time of the Bank of Spain Heist, Germán had passed away from pancreatic cancer."
money-heist_paragraph_0000001,1055,"Najwa Nimri




Najwa Nimri en los Premios Goya 2018


Full name
Najwa Nimri Urrutikoetxea


Date of birth
February 14, 1972 (age 54)


Place of birth
Pamplona, Navarre, Spain


Nationality
 Spanish


Occupation
ActressSinger


Years active
1995–present


Partner(s)
Daniel Calparsoro (1995 - 2000)


Children
Teo (2004)


Award(s)
Fotogramas de Plata (2019) - Best TV Actress (Vis a vis)Ondas Awards (2015) - National Television: Best Actress (Vis a vis)Málaga Spanish Film Festival (2005) - Best Music (20 centímetros)


Role
Alicia Sierra





First appearance
Lastest appearance




We're Back
The Paris Plan





Najwa Nimri Urrutikoetxea (born February 14, 1972) is a Spanish actress and singer who portrays Alicia Sierra on the series Money Heist. She is of Navarrese and Jordanian descent. Nimri's mother is Navarrese and her father is Jordanian. When she was a child, she moved to Bilbao and now lives in Madrid. She was married to Daniel Calparsoro from 1995 to 2000 and had a son named Teo in 2004 (father unknown)."
money-heist_paragraph_0000002,1055,"Her first movie was Salto al vacío, the first film by her ex-husband, Daniel Calparsoro. She formed the group Najwajean with Carlos Jean."
money-heist_paragraph_0000003,1055,"She was also in the movie Abre los ojos as Nuria, alongside Penelope Cruz and Eduardo Noriega. She also was in Sex and Lucía as Elena, and was nominated for a Goya Award in the category of Best Supporting Actress."
money-heist_paragraph_0000004,1055,"In 2015, she made her television debut playing Zulema Zahir, the main antagonist of the prison drama series Vis a vis, produced by Globomedia for Antena 3 in its first two seasons, and for FOX Spain, in its last two. In 2017, she took the stage with the musical Drac Pack with Alba Flores."
money-heist_paragraph_0000005,1055,"In 2018, she starred in the movie Quién te cantará as Lila, an amnesiac singer. She was nominated for a Goya Award in the category of best female lead performance. That same year she was in the movie El árbol de la sangre, along with Úrsula Corberó."
money-heist_paragraph_0000006,1055,"In 2019, she joined the cast of Money Heist, where she plays Inspector Alicia Sierra. She is also in the spin-off series, Vis a vis: El oasis on FOX Spain."
money-heist_paragraph_0000001,1056,"Mariví Fuentes






Biographical Information

Gender
Female


Status
Alive



Relationships

Family
Raquel Murillo (daughter)Laura Murillo (daughter)Paula Vicuña Murillo (granddaughter)Alberto Vicuña (son-in-law)Unnamed brother[1]


Friends
The Professor



Series Information

Part(s)
1, 2, 3, 4


Portrayed by
Kiti Mánver


Voice Actor
Barbara Goodson (English, Original)[2]Rita Zoher (English, New)[3]






First appearance
Latest appearance




Episode 2 (Part 1)
Anatomy Lesson





Mariví Fuentes is the mother of Raquel Murillo."
money-heist_paragraph_0000002,1056,"Mari suffers from Alzheimer's, as evidenced by how she forgets things through the show and by the letters reminding her of her life, habits and family."
money-heist_paragraph_0000003,1056,Mariví Fuentes is old and has white hair.
money-heist_paragraph_0000004,1056,"Mariví is shown to be a sweet lady, and a good care-taker for Paula, Raquel's daughter. She's also shown to be really kind towards The Professor when he is disguised as Salva, offering to give him tea and other things like that."
money-heist_paragraph_0000001,1057,"Axel




Child who resembles Axel


Biographical Information

Age
7


Gender
Male


Status
Alive



Relationships

Family
Nairobi (mother)



Axel is the son of Nairobi."
money-heist_paragraph_0000002,1057,"Axel was put into foster care when Nairobi was arrested for dealing drugs. Later, a child who resembled Axel was brought to the Bank of Spain to lure Nairobi to approach the window. She was later shot by police."
money-heist_paragraph_0000001,1058,"Monastery of San Giovanni






Inhabitant(s)
Berlin, The Professor


Location
Italy


Filming location
The Hermitage of San Frutos (Saint Fructus)Abbey de Parraces, Segovia (Interior and Courtyard)





First appearance




We're Back






The Monastery of San Giovanni is the Italian monastery where Berlin lived in the years leading up the heist of the Royal Mint of Spain. He planned the heist of the Bank of Spain there, and it was also where he was married to Tatiana in Berlin's Wedding."
money-heist_paragraph_0000002,1058,"Abbey de Parraces, Segovia (Interior and Courtyard)"
money-heist_paragraph_0000003,1058,He shared the monastery with actual monks. Among these monks is João.
money-heist_paragraph_0000001,1059,"Monk João






Biographical Information

Full Name
João dos Santos


Gender
Male


Status
Alive



Relationships

Friends
BogotáNairobiTokyoRioMarseilleDenverStockholmHelsinkiManilaPalermoThe ProfessorLisbonMarseilleBerlin


Enemies
SuárezLuis Tamayo



Professional Information

Occupation
RobberMonk


Affiliation
Bank of Spain robbers



Series Information

Part(s)
3


Portrayed by
Neymar






First appearance
Latest appearance




Everything Seemed Insignificant
Astray





João dos Santos, also known by his alias, Cairo, is one of the main characters of the Netflix series Money Heist, played by Neymar."
money-heist_paragraph_0000002,1059,Monk
money-heist_paragraph_0000003,1059,"João was born in São Paulo, he has known Berlin for 6 years, before the second robbery, he worked as a monk."
money-heist_paragraph_0000004,1059,João has black hair and wears a red jumpsuit
money-heist_paragraph_0000005,1059,He is a kind monk.
money-heist_paragraph_0000006,1059,João is played by the Brazil football player and former Barcelona player Neymar. Jr
money-heist_paragraph_0000001,1060,"Neymar






Full name
Neymar da Silva Santos Júnior


Date of birth
February 5, 1992 (age 34)


Place of birth
São Paulo, Brazil


Occupation
Football player


Role
João


Neymar is a professional Brazilian soccer player who plays as a forward for Saudi Pro League club Al-Hilal and the Brazil national team. He is widely considered to be one of the best players in the world. He had a cameo role as the monk João."
money-heist_paragraph_0000001,1092,"María Pedraza






Full name
María Pedraza


Date of birth
January 26, 1996 (age 30)


Place of birth
Madrid, Spain


Nationality
 Spanish


Occupation
ActressBallerina


Years active
2017-present


Partner(s)
Jaime Lorente (2018-2020)


Role
Alison Parker





First appearance
Lastest appearance




Episode 1 (Part 1)
Episode 6 (Part 2)





María Pedraza (born January 26, 1996) is a Spanish actress and ballerina. She portrayed Alison Parker on Netflix's Money Heist."
money-heist_paragraph_0000002,1092,Pedraza is best known for portraying Alison Parker in the Spanish series Money Heist and Marina in the series Élite. She also starred as Triana in the series Toy Boy.
money-heist_paragraph_0000003,1092,Pedraza was discovered through her Instagram account by film director Esteban Crespo who invited her to attend an audition for the lead role of his debut opera AMAR.
money-heist_paragraph_0000004,1092,"From 2018-2020, Pedraza dated Jaime Lorente.[1][2]"
money-heist_paragraph_0000001,1093,"Mercedes Colmenar






Biographical Information

Full Name
Mercedes Colmenar


Gender
Female


Status
Alive



Relationships

Friends
Alison ParkerPablo RuizAriadna Cascales Arturo RománMónica Gaztambide (formerly)


Enemies
RioTokyoBerlinMónica Gaztambide



Professional Information

Occupation
Teacher at Brighton College



Series Information

Part(s)
1, 2


Portrayed by
Anna Gras


Voice Actor
Dorothy Elias-Fahn (English, Original)






First appearance
Latest appearance




Episode 1 (Part 1)
Episode 9 (Part 2)





Mercedes Colmenar is a high school teacher, who takes her students on a trip to the Royal Mint of Spain, and ends up being a hostage, along with her students."
money-heist_paragraph_0000002,1093,"After working in a number of public high schools and being unemployed for almost a year, she finally found her dream job: teaching at Brighton College in Madrid, a well-known institution in Spain. She teaches philosophy, ethics and the history of religions. She also runs workshops on the environment and sex education."
money-heist_paragraph_0000003,1093,Mercedes has brown hair.
money-heist_paragraph_0000004,1093,"Mercedes cares about her students. She is somewhat timid, but is brave when it comes to defending her students. She insisted on seeing Silvia after she was taken away."
money-heist_paragraph_0000001,1124,"Vane

Biographical Information

Gender
Female


Status
Alive



Relationships

Romance(s)
Denver (ex-boyfriend)



Vane is Denver's ex-girlfriend who was also a robber. Limited information is known about her."
money-heist_paragraph_0000002,1124,"According to Denver's father, Moscow, all of Denver's girlfriends prior to the first heist, including Vane, were neither attractive nor intelligent."
money-heist_paragraph_0000001,114,"Rio





							Part 5 V2
							
						



							Part 5 V1
							
						



							Part 4
							
						



							Part 3
							
						

































Biographical Information

Full Name
Aníbal Cortes


Nickname(s)
Bro (by Denver)Snotty Little Child (by Berlin)Rayo (by Rio's parents)


Age
20 (season one) 23 (season 3) (born 1997) [1][2]


Gender
Male


Status
Alive



Relationships

Family
Paco Cortés (father)Unnamed mother


Romance(s)
Tokyo (ex-girlfriend)


Friends
The ProfessorHelsinkiDenverNairobiStockholmOsloMoscowLisbonBogotáMarseille


Enemies
Berlin (dislike)Palermo (dislike)Alicia Sierra (torturer)Alfonso PrietoGandía



Professional Information

Occupation
HackerRobber


Affiliation
Royal Mint of Spain robbersBank of Spain robbers



Series Information

Part(s)
1, 2, 3, 4, 5


Portrayed by
Miguel Herrán


Voice Actor
Johnny Yong Bosch (English, Original)[3]Ryan Rickard (English, New)[4]






First appearance
Latest appearance




Episode 1 (Part 1)
Live Many Lives





Aníbal Cortés, also known by his alias, Rio (  Spanish:   Río ), is one of the main characters in the Netflix series Money Heist, portrayed by actor Miguel Herrán."
money-heist_paragraph_0000002,114,23 (season 3) (born 1997) [1][2]
money-heist_paragraph_0000003,114,"Rio was born in Getafe. His nickname given by his mother was Rayo, meaning lightning bolt in Spanish. At young age he became interested in computers and began programming at the age of 6.[5] He often locked himself in his room for hours. His parents believed that he was working or playing on his computer, but he was actually beginning his career as a hacker.[6]"
money-heist_paragraph_0000004,114,"In 2010, he engaged in multiple cyber-attacks, which were all done discretely so the police couldn’t track him. He stole banking data and attacked North American servers. These hacks were reported by several online newspapers such as La Voz, La Nación, El Diario.com, however his identity was never discovered."
money-heist_paragraph_0000005,114,"Rio took part in the heist at the Royal Mint of Spain heist. During the learning process and preparation for the heist, he developed feelings for his fellow robber Tokyo and they began a secret relationship despite The Professor's request for participants not to fraternize. On the day before the heist, he gives Tokyo a dogtag necklace with his real name and proposes to her."
money-heist_paragraph_0000006,114,"On the first day of the heist, Rio hacks the security cameras and alarms of the Mint and redirects it the to the hangar where the Professor hides. While accompanying Alison Parker, he fights with Tokyo which allows Alison to grab her phone to delete the picture of her on Instagram. However, the police hacked her phone and turned on her front camera, allowing them to see the inside of the Mint and Rio's face. After the police identified him, they started searching for the identity of other robbers. Eventually, they discovered that Rio had visited the mint a few months ago with Tokyo, jeopardising the heist. When Berlin discovers the truth, he sends two fellow robbers to beat up Rio."
money-heist_paragraph_0000007,114,"Left behind, Rio was found by law enforcement agents and captured. He was brutally tortured by Alicia Sierra and became the catalyst of a second robbery, the Bank of Spain heist, with the crew reuniting in an attempt to save him."
money-heist_paragraph_0000008,114,"Rio has short brown hair. He's one of the most athletic member of the gang and is very muscular, with huge arms and a strong shape."
money-heist_paragraph_0000009,114,"Rio is playful, naïve, and innocent compared to his fellow crew members, causing him to be considered the ""weakest link"". His naïvety caused problems, which drove the Professor to kick him out of the group, however Tokyo stopped it. However, he can also show  some brutality - or even cruelty against his enemies. He thus was about to torture Alison and Arturo during the heists."
money-heist_paragraph_0000010,114,"Rio still cares for his family. He was upset upon hearing his parents talk about their disappointment and was emotional when he watched the video of his parents. He considered surrendering himself, but later decided to continue with the heist."
money-heist_paragraph_0000011,114,"Rio is a very skilled hacker, having attacked multiple websites and being recruited as the tech expert for a very complicated heist. He is shown to have enough knowledge of the deep web to know where he can buy weapons."
money-heist_paragraph_0000012,114,"According to the Spanish police, he is an alarm expert that worked in a security company for 2 years.[7]"
money-heist_paragraph_0000013,114,"Rio is shown to be at least a bit skilled with weapons, knowing how to use them. He blasted a armored military vehicle and burned its passengers alive.  As stated by Alison Parker, he doesn’t hold a weapon like a professional.
He is supposed to be skilled in all the things the professor taught him and his fellow crew members, although some have never been shown."
money-heist_paragraph_0000014,114,Rio begins a romantic relationship with Tokyo during their time at the Toledo Estate.
money-heist_paragraph_0000015,114,"Rio and Tokyo's relationship jeopardised on the Royal Mint of Spain heist, as it affected their behavior and caused them to make impulsive decisions."
money-heist_paragraph_0000016,114,"After the first heist, they eloped together and spent time hiding on an island in the Caribbean. However, Tokyo eventually felt bored and desired to go to the city. When Tokyo forgets to call Rio, he stresses and repeatedly calls her. Unbeknownst to Rio, the cell phone was registered to him and his repeated calls allowed Interpol to trace his location, resulting in his arrest."
