sentence_id,article_id,sentence_text
money-heist_sentence_0000001,1026,"Rodrigo de la Serna






Full name
Rodrigo de la Serna


Date of birth
April 18, 1976 (age 49)


Place of birth
Belgrano, Buenos Aires, Argentina


Nationality
 Argentine


Occupation
Actor


Years active
1995-present


Partner(s)
Ludmila Romero (2016-present)Pilar Gamboa (2012)Soledad Fandiño (2011)Erica Rivas (1999-2010)


Children
Miranda (2001)Olivia (2019)Estanislao (2020)


Role
Palermo





First appearance




We're Back"
money-heist_sentence_0000002,1026,"Rodrigo de la Serna (born April 18, 1976) is an Argentine actor."
money-heist_sentence_0000003,1026,He portrays Palermo in the series Money Heist.
money-heist_sentence_0000001,1031,"Pamplona






Biographical Information

Full Name
Matías Caño


Gender
Male


Status
Alive



Relationships

Friends
Bogotá (associate)NairobiTokyoRioAlfonsoAgustín MonteroMarseilleDenverStockholmHelsinkiManilaPalermoThe ProfessorLisbonMarseille


Enemies
Arturo RománSuárezLuis Tamayo



Professional Information

Affiliation
Bank of Spain robbers



Series Information

Part(s)
3, 4, 5


Portrayed by
Ahikar Azcona


Voice Actor
Delarosa Rivera (English, New)[1]






First appearance
Latest appearance




48 Meters Underground
A Family Tradition





Matías Caño, otherwise known as Pamplona, is a supporting character who appears in the Bank of Spain robbery in Parts 3, 4 and 5."
money-heist_sentence_0000002,1031,He helps the gang out with melting and storing the gold and also guards the hostages and has been an associate of Bogotá for six years.
money-heist_sentence_0000003,1031,"In his first appearance in the third episode, he is 'picked' as one of the 'volunteers' to work in the gold production area."
money-heist_sentence_0000004,1031,He refuses to do it by saying he is 'no volunteer' which angers Nairobi and results in Bogotá dragging him downstairs to the other hostages' horror.
money-heist_sentence_0000005,1031,It is later revealed that was all an act and that he is in on the heist and one of the undercover members hired to help the main gang out.
money-heist_sentence_0000006,1031,"He spends the majority of Part 3 working in the gold shaft along with Nairobi, Bogotá and the other volunteers."
money-heist_sentence_0000007,1031,He also assists the gang in helping to recover the Governor.
money-heist_sentence_0000008,1031,"In Part 4, he is now guarding the hostages more and that is his main role while the main gang can focus on producing the gold and keeping guard on any threats."
money-heist_sentence_0000009,1031,"He stays downstairs with the hostages and stands in front of them, holding his gun at all times."
money-heist_sentence_0000010,1031,"When Arturo Román caused a commotion amongst the hostages, Matías approached him to warn him but was disarmed by Arturo."
money-heist_sentence_0000011,1031,"However, Manila, one of the hostages, revealed herself to have been an undercover agent of the gang, and almost immediately disposed of Arturo by shooting him in the leg and lending Matías his gun back."
money-heist_sentence_0000012,1031,"In Part 5, Matías expresses that he wants to have a code name of a city, so that in case the heist goes wrong and they're all arrested, he will be known by the name of a city, like all the other robbers, and not sound like an intern."
money-heist_sentence_0000013,1031,"He chooses Pamplona, which the other gang members don't take seriously, but he insists that Pamplona is a great name."
money-heist_sentence_0000014,1031,"He explains that Pamplona has the wildest festival in the world, the Festival of San Fermín, which is watched by people from around the world."
money-heist_sentence_0000015,1031,Even the famous author Ernest Hemingway wrote the book The Sun Also Rises about American and British expatriates who travel Pamplona to watch the running of the bulls and the bullfights at the Festival of San Fermín.
money-heist_sentence_0000016,1031,"Seeing his insistence, the other robbers accept his code name and Tamayo refers to him as Pamplona when he speaks to the public."
money-heist_sentence_0000017,1031,"He is quite young, probably in his mid 20s and has short brown hair and hooped ear piercings."
money-heist_sentence_0000018,1031,He wears the red jumpsuit along with everyone else and is equipped with a real gun.
money-heist_sentence_0000019,1031,"He is shown to be a hard-working, loyal and funny guy."
money-heist_sentence_0000020,1031,Matías and Bogotá have been associates for 6 years.
money-heist_sentence_0000021,1031,"However, their relationship doesn't appear to be amicable."
money-heist_sentence_0000022,1031,Bogotá was angry at Matías for pretending not to comply with orders in front of other hostages.
money-heist_sentence_0000023,1031,He reveals that he has wanted to slam Matías' head against a wagon 6 times.
money-heist_sentence_0000001,1053,"Germán

Biographical Information

Gender
Male


Status
Dead


Cause of Death
Pancreatic Cancer



Relationships

Family
Alicia Sierra (wife)Victoria (daughter)



Germán was Alicia Sierra's husband."
money-heist_sentence_0000002,1053,Germán died of pancreatic cancer about two months before the heist of the Bank of Spain.
money-heist_sentence_0000003,1053,"His last words were ""Turn on the news""."
money-heist_sentence_0000004,1053,"In Part 5, Germán is mentioned when Alicia tells the Professor that the last person to cook for her was Germán before he died."
money-heist_sentence_0000005,1053,"Germán was Alicia's husband, and father of her child."
money-heist_sentence_0000006,1053,"At the time of the Bank of Spain Heist, Germán had passed away from pancreatic cancer."
money-heist_sentence_0000001,1055,"Najwa Nimri




Najwa Nimri en los Premios Goya 2018


Full name
Najwa Nimri Urrutikoetxea


Date of birth
February 14, 1972 (age 54)


Place of birth
Pamplona, Navarre, Spain


Nationality
 Spanish


Occupation
ActressSinger


Years active
1995–present


Partner(s)
Daniel Calparsoro (1995 - 2000)


Children
Teo (2004)


Award(s)
Fotogramas de Plata (2019) - Best TV Actress (Vis a vis)Ondas Awards (2015) - National Television: Best Actress (Vis a vis)Málaga Spanish Film Festival (2005) - Best Music (20 centímetros)


Role
Alicia Sierra





First appearance
Lastest appearance




We're Back
The Paris Plan





Najwa Nimri Urrutikoetxea (born February 14, 1972) is a Spanish actress and singer who portrays Alicia Sierra on the series Money Heist."
money-heist_sentence_0000002,1055,She is of Navarrese and Jordanian descent.
money-heist_sentence_0000003,1055,Nimri's mother is Navarrese and her father is Jordanian.
money-heist_sentence_0000004,1055,"When she was a child, she moved to Bilbao and now lives in Madrid."
money-heist_sentence_0000005,1055,She was married to Daniel Calparsoro from 1995 to 2000 and had a son named Teo in 2004 (father unknown).
money-heist_sentence_0000006,1055,"Her first movie was Salto al vacío, the first film by her ex-husband, Daniel Calparsoro."
money-heist_sentence_0000007,1055,She formed the group Najwajean with Carlos Jean.
money-heist_sentence_0000008,1055,"She was also in the movie Abre los ojos as Nuria, alongside Penelope Cruz and Eduardo Noriega."
money-heist_sentence_0000009,1055,"She also was in Sex and Lucía as Elena, and was nominated for a Goya Award in the category of Best Supporting Actress."
money-heist_sentence_0000010,1055,"In 2015, she made her television debut playing Zulema Zahir, the main antagonist of the prison drama series Vis a vis, produced by Globomedia for Antena 3 in its first two seasons, and for FOX Spain, in its last two."
money-heist_sentence_0000011,1055,"In 2017, she took the stage with the musical Drac Pack with Alba Flores."
money-heist_sentence_0000012,1055,"In 2018, she starred in the movie Quién te cantará as Lila, an amnesiac singer."
money-heist_sentence_0000013,1055,She was nominated for a Goya Award in the category of best female lead performance.
money-heist_sentence_0000014,1055,"That same year she was in the movie El árbol de la sangre, along with Úrsula Corberó."
money-heist_sentence_0000015,1055,"In 2019, she joined the cast of Money Heist, where she plays Inspector Alicia Sierra."
money-heist_sentence_0000016,1055,"She is also in the spin-off series, Vis a vis: El oasis on FOX Spain."
money-heist_sentence_0000001,1056,"Mariví Fuentes






Biographical Information

Gender
Female


Status
Alive



Relationships

Family
Raquel Murillo (daughter)Laura Murillo (daughter)Paula Vicuña Murillo (granddaughter)Alberto Vicuña (son-in-law)Unnamed brother[1]


Friends
The Professor



Series Information

Part(s)
1, 2, 3, 4


Portrayed by
Kiti Mánver


Voice Actor
Barbara Goodson (English, Original)[2]Rita Zoher (English, New)[3]






First appearance
Latest appearance




Episode 2 (Part 1)
Anatomy Lesson





Mariví Fuentes is the mother of Raquel Murillo."
money-heist_sentence_0000002,1056,"Mari suffers from Alzheimer's, as evidenced by how she forgets things through the show and by the letters reminding her of her life, habits and family."
money-heist_sentence_0000003,1056,Mariví Fuentes is old and has white hair.
money-heist_sentence_0000004,1056,"Mariví is shown to be a sweet lady, and a good care-taker for Paula, Raquel's daughter."
money-heist_sentence_0000005,1056,"She's also shown to be really kind towards The Professor when he is disguised as Salva, offering to give him tea and other things like that."
money-heist_sentence_0000001,1057,"Axel




Child who resembles Axel


Biographical Information

Age
7


Gender
Male


Status
Alive



Relationships

Family
Nairobi (mother)



Axel is the son of Nairobi."
money-heist_sentence_0000002,1057,Axel was put into foster care when Nairobi was arrested for dealing drugs.
money-heist_sentence_0000003,1057,"Later, a child who resembled Axel was brought to the Bank of Spain to lure Nairobi to approach the window."
money-heist_sentence_0000004,1057,She was later shot by police.
money-heist_sentence_0000001,1058,"Monastery of San Giovanni






Inhabitant(s)
Berlin, The Professor


Location
Italy


Filming location
The Hermitage of San Frutos (Saint Fructus)Abbey de Parraces, Segovia (Interior and Courtyard)





First appearance




We're Back






The Monastery of San Giovanni is the Italian monastery where Berlin lived in the years leading up the heist of the Royal Mint of Spain."
money-heist_sentence_0000002,1058,"He planned the heist of the Bank of Spain there, and it was also where he was married to Tatiana in Berlin's Wedding."
money-heist_sentence_0000003,1058,"Abbey de Parraces, Segovia (Interior and Courtyard)"
money-heist_sentence_0000004,1058,He shared the monastery with actual monks.
money-heist_sentence_0000005,1058,Among these monks is João.
